indroea,event_id,inicio,fin,duracion,deficit_hm3
9014,423,1996-03-24,1996-04-22,30,0.11282112000000001
9014,424,1996-07-05,1996-07-21,17,0.027950400000000004
9014,425,2001-07-30,2001-08-13,15,0.012506400000000004
9014,426,2001-08-28,2001-09-24,28,0.023474879999999993
9014,427,2001-10-29,2001-11-12,15,0.006143039999999998
9014,428,2001-12-01,2001-12-12,12,0.005296320000000003
9014,429,2001-12-24,2002-01-03,11,0.005188320000000004
9014,430,2002-03-09,2002-03-22,14,0.02551392
9014,431,2002-04-25,2002-05-03,9,0.056380320000000005
9014,432,2003-05-19,2003-06-01,14,0.08420112
9014,433,2003-10-28,2003-11-08,12,0.012182399999999998
9014,434,2006-02-15,2006-02-23,9,0.0163728
9014,435,2006-03-16,2006-03-22,7,0.005590080000000006
9014,436,2006-12-22,2007-01-06,16,0.025479360000000006
9014,437,2007-02-21,2007-03-05,13,0.024360479999999993
9014,438,2007-10-07,2007-11-23,48,0.039260160000000016
9014,439,2009-04-17,2009-04-28,12,0.011962079999999998
9014,440,2009-05-26,2009-06-19,25,0.014031360000000001
9014,441,2009-08-12,2009-09-04,24,0.009607679999999999
9014,442,2011-04-15,2011-05-29,45,0.11137392
9014,443,2012-02-16,2012-02-26,11,0.005598719999999999
9014,444,2012-12-27,2013-02-15,51,0.08824464
9014,445,2013-05-08,2013-05-12,5,0.007940160000000002
9014,446,2014-02-01,2014-02-16,16,0.06717168000000001
9014,447,2015-01-06,2015-01-30,25,0.04957631999999999
9014,448,2015-02-22,2015-03-16,23,0.009797759999999996
9014,449,2015-04-06,2015-04-13,8,0.013845600000000001
9014,450,2015-12-02,2016-01-09,39,0.09145440000000002
9014,451,2016-01-26,2016-02-03,9,0.014394240000000004
9014,452,2016-03-16,2016-04-02,18,0.013672800000000004
9014,453,2016-06-09,2016-06-20,12,0.011016000000000005
9014,454,2016-11-12,2016-11-21,10,0.005927040000000007
9014,455,2017-09-08,2017-10-09,32,0.03186432
9014,456,2018-03-07,2018-04-04,29,0.016459200000000004
9014,457,2018-08-06,2018-08-15,10,0.005374080000000001
9014,458,2018-09-29,2018-10-06,8,0.0163728
9014,459,2019-06-12,2019-07-17,36,0.07307280000000002
9015,460,1993-12-13,1994-01-11,30,0.14478480000000002
9015,461,1995-11-14,1995-12-12,29,0.03658176000000003
9015,462,1996-05-28,1996-06-25,29,0.025790400000000005
9015,463,1998-03-16,1998-04-26,42,0.08714304000000003
9015,464,1998-05-11,1999-03-15,309,0.8410564800000002
9015,465,1999-04-04,1999-07-30,118,0.25593079208191133
9015,466,2000-02-23,2000-05-10,78,0.5894121600000001
9015,467,2000-08-19,2000-08-29,11,0.008095680000000001
9015,468,2000-09-26,2000-10-10,15,0.009106559999999996
9015,469,2002-02-13,2002-04-04,51,0.29971728
9015,470,2014-08-01,2014-09-29,60,0.49929264
9015,471,2014-10-13,2015-02-18,129,1.0879660799999997
9015,472,2017-05-02,2017-05-30,29,0.05482943999999997
9015,473,2018-01-29,2018-02-12,15,0.04002048
9015,474,2019-05-17,2019-10-20,157,0.25304831999999994
